Date,Open,High,Low,Close,Adj Close,Volume
23-09-2010,470,472.649994,463.899994,465.674988,379.662506,3327236
24-09-2010,466.549988,468.950012,462.5,465.975006,379.907043,2738784
27-09-2010,467.5,470.725006,461,463.799988,378.13382,3423290
28-09-2010,462.625,465.149994,457.049988,459.825012,374.892914,2521714
29-09-2010,462.5,468.625,457.450012,460.174988,375.178375,3370194
30-09-2010,462.5,465,457.575012,463.475006,377.868652,7560924
01-10-2010,463.5,483,461,480.799988,391.993744,3326156
04-10-2010,483.375,487.5,476.5,477.899994,389.629364,2140956
05-10-2010,475,482.975006,473.075012,475.125,387.366943,2211664
06-10-2010,475,483.950012,475,479.825012,391.198792,1838960
07-10-2010,480,483,469.200012,474.399994,386.775879,1972940
08-10-2010,472.024994,477.350006,434.5,471.299988,384.248505,2695996
11-10-2010,471.299988,476.975006,464.524994,470.450012,383.555481,3065370
12-10-2010,471.325012,477.899994,469.549988,475.350006,387.550415,2608902
13-10-2010,477.975006,498.850006,474.549988,496.424988,404.732697,5350604
14-10-2010,498.450012,502,491.174988,493.024994,401.960785,2949086
15-10-2010,499.5,505.5,472.5,475.149994,387.387421,5717798
18-10-2010,485,492,465,490.625,400.004089,4480734
19-10-2010,491,493.700012,482.049988,483.875,394.500702,2200912
20-10-2010,482.25,490.25,478.100006,481.625,392.666382,2206638
21-10-2010,487.024994,496.924988,485,493.100006,402.021912,3752354
22-10-2010,511,524.700012,511,520.099976,424.034943,9610404
25-10-2010,521.5,536.474976,518.599976,533.474976,434.939331,5156316
26-10-2010,531.75,533.875,520.775024,531.299988,433.166138,3507024
27-10-2010,530,533.400024,521.775024,524.099976,427.295929,2141382
28-10-2010,525,533.775024,520,526.450012,429.211975,5255690
29-10-2010,530,530,515.5,526.450012,429.211975,2212398
01-11-2010,526.025024,533.200012,524.549988,526.700012,430.233093,1147948
02-11-2010,527.5,530,521.849976,524.724976,428.619812,1565778
03-11-2010,525.450012,539.5,524.200012,526.400024,429.987976,2217878
04-11-2010,531,539.299988,530.75,534.575012,436.665802,1717440
08-11-2010,540,541.200012,531.049988,534.075012,436.257385,2248586
09-11-2010,536.950012,549.349976,534.25,545.549988,445.630554,3504086
10-11-2010,546.125,554,543.049988,546.150024,446.120819,1540224
11-11-2010,545,545,529.125,532.375,434.868683,1926096
12-11-2010,530,534.950012,524.099976,527.950012,431.254059,1802330
15-11-2010,532.5,539.924988,526.5,533,435.37912,1389396
16-11-2010,533,533.200012,521.099976,524.450012,428.395233,2178076
18-11-2010,536,536,520,521.400024,425.903625,2765160
19-11-2010,522.450012,524.5,503,507.700012,414.712982,2172652
22-11-2010,508,521.5,505.75,519.549988,424.392609,2221236
23-11-2010,517,522.5,506.200012,515.025024,420.696411,1684448
24-11-2010,512.5,517.25,499.475006,502.375,410.36322,3008608
